date,local_err,local_ms,dns_err,dns_ms,google_err,google_ms
18-09-2020_23:00:18,0,11,0,9,0,9
18-09-2020_23:05:01,0,9,20,10,20,30
18-09-2020_23:10:05,0,9,0,10,0,10
18-09-2020_23:15:12,0,10,0,10,0,9
18-09-2020_23:20:28,0,9,0,10,0,9
18-09-2020_23:25:27,0,10,0,10,0,10
18-09-2020_23:30:12,0,10,0,11,0,10
18-09-2020_23:35:11,0,10,0,10,0,10
18-09-2020_23:40:14,0,12,0,10,0,10
18-09-2020_23:45:41,0,9,0,9,0,10
18-09-2020_23:50:14,0,11,0,12,0,22
18-09-2020_23:55:14,0,9,0,9,0,9
19-09-2020_00:00:13,0,10,0,10,0,12
19-09-2020_00:05:14,0,10,0,10,0,9
19-09-2020_00:10:14,0,10,0,10,0,6
19-09-2020_00:15:13,0,11,0,9,0,9
19-09-2020_00:20:13,0,11,0,11,0,11
19-09-2020_00:25:14,0,10,0,12,0,10
19-09-2020_00:30:13,0,10,0,10,0,10
19-09-2020_00:35:14,0,11,0,11,0,10
19-09-2020_00:40:14,0,10,0,11,0,6
19-09-2020_00:45:13,0,11,0,10,0,10
19-09-2020_00:50:15,0,11,0,9,20,54
19-09-2020_00:55:14,0,9,20,63,0,10
19-09-2020_01:00:13,0,11,0,9,0,10
19-09-2020_01:05:14,0,10,0,10,0,10
19-09-2020_01:10:13,0,11,0,10,0,9
19-09-2020_01:15:14,0,9,0,10,0,10
19-09-2020_01:20:14,0,10,0,10,0,10
19-09-2020_01:25:13,0,11,0,10,0,10
19-09-2020_01:30:13,0,10,0,12,0,9
19-09-2020_01:35:15,0,10,0,10,20,62
19-09-2020_01:40:13,0,10,0,9,0,9
19-09-2020_01:45:14,0,9,0,9,0,11
19-09-2020_01:50:14,0,11,0,10,0,11
19-09-2020_01:55:13,0,10,0,9,0,9
19-09-2020_02:00:14,0,10,0,11,0,10
19-09-2020_02:05:20,0,10,0,9,0,11
19-09-2020_02:10:13,0,10,0,11,0,10
19-09-2020_02:15:14,0,10,0,10,0,11
19-09-2020_02:20:14,0,10,0,10,0,10
19-09-2020_02:25:14,0,10,0,10,0,10
19-09-2020_02:30:13,0,10,0,10,0,9
19-09-2020_02:35:14,0,11,0,10,0,9
19-09-2020_02:40:13,0,10,0,10,0,10
19-09-2020_02:45:14,0,11,0,11,0,9
19-09-2020_02:50:14,0,11,0,8,0,9
19-09-2020_02:55:13,0,10,0,10,0,10
19-09-2020_03:00:14,0,9,0,10,0,10
19-09-2020_03:05:13,0,10,0,9,0,10
19-09-2020_03:10:13,0,9,0,11,0,9
19-09-2020_03:15:14,0,11,0,10,0,9
19-09-2020_03:20:14,0,11,0,6,0,10
19-09-2020_03:25:13,0,10,0,11,0,11
19-09-2020_03:30:14,0,11,0,10,0,10
19-09-2020_03:35:14,0,10,0,11,0,6
19-09-2020_03:40:13,0,10,0,11,0,9
19-09-2020_03:45:14,0,10,0,11,0,10
19-09-2020_03:50:13,0,11,0,11,0,9
19-09-2020_03:55:13,0,10,0,10,0,10
19-09-2020_04:00:14,0,11,0,6,0,10
19-09-2020_04:05:13,0,12,0,10,0,10
19-09-2020_04:10:14,0,11,0,11,0,11
19-09-2020_04:15:15,0,10,20,11,0,6
19-09-2020_04:20:13,0,10,0,12,0,9
19-09-2020_04:25:13,0,11,0,12,0,10
19-09-2020_04:30:14,0,10,0,10,0,10
19-09-2020_04:35:13,0,10,0,11,0,10
19-09-2020_04:40:14,0,9,0,10,0,11
19-09-2020_04:45:14,0,9,0,10,0,6
19-09-2020_04:50:13,0,10,0,10,0,10
19-09-2020_04:55:14,0,10,0,11,0,9
19-09-2020_05:00:13,0,10,0,9,0,9
19-09-2020_05:05:14,0,11,0,9,0,10
19-09-2020_05:10:14,0,10,0,9,0,11
19-09-2020_05:15:13,0,10,0,9,0,10
19-09-2020_05:20:13,0,12,0,9,0,11
19-09-2020_05:25:14,0,9,0,10,0,11
19-09-2020_05:30:13,0,10,0,10,0,11
19-09-2020_05:35:13,0,10,0,11,0,10
19-09-2020_05:40:14,0,10,0,9,0,11
19-09-2020_05:45:13,0,10,0,11,0,11
19-09-2020_05:50:14,0,10,0,10,0,10
19-09-2020_05:55:14,0,10,0,11,0,5
19-09-2020_06:00:13,0,10,0,11,0,10
19-09-2020_06:05:14,0,11,0,10,0,10
19-09-2020_06:10:13,0,11,0,10,0,11
19-09-2020_06:15:13,0,11,0,11,0,9
19-09-2020_06:20:14,0,10,0,10,0,10
19-09-2020_06:25:14,0,10,0,9,0,11
19-09-2020_06:30:13,0,11,0,11,0,11
19-09-2020_06:35:14,0,10,0,10,0,14
19-09-2020_06:40:14,0,10,0,7,0,10
19-09-2020_06:45:13,0,10,0,10,0,10
19-09-2020_06:50:14,0,11,0,10,0,11
19-09-2020_06:55:14,0,10,0,10,0,10
19-09-2020_07:00:13,0,10,0,11,0,11
19-09-2020_07:05:14,0,10,0,11,0,10
19-09-2020_07:10:13,0,11,0,10,0,9
19-09-2020_07:15:13,0,10,0,9,0,10
19-09-2020_07:20:14,0,11,0,10,0,9
19-09-2020_07:25:14,0,10,0,10,0,11
19-09-2020_07:30:13,0,10,0,9,0,10
19-09-2020_07:35:14,0,10,0,11,0,11
19-09-2020_07:40:13,0,11,0,11,0,11
19-09-2020_07:45:13,0,9,0,10,0,10
19-09-2020_07:50:14,0,10,0,11,0,11
19-09-2020_07:55:13,0,10,0,11,0,11
19-09-2020_08:00:13,0,11,0,9,0,10
19-09-2020_08:05:15,0,9,20,58,0,10
19-09-2020_08:10:13,0,11,0,10,0,11
19-09-2020_08:15:13,0,11,0,10,0,10
19-09-2020_08:20:14,0,10,0,10,0,10
19-09-2020_08:25:14,0,10,0,11,0,10
19-09-2020_08:30:13,0,10,0,11,0,11
19-09-2020_08:35:14,0,10,0,9,0,9
19-09-2020_08:40:14,0,10,0,10,0,10
19-09-2020_08:45:13,0,10,0,11,0,10
19-09-2020_08:50:14,0,11,0,11,0,10
19-09-2020_08:55:13,0,10,0,10,0,11
19-09-2020_09:00:14,0,11,0,10,0,9
19-09-2020_09:05:14,0,11,0,10,0,10
19-09-2020_09:10:13,0,10,0,10,0,10
19-09-2020_09:15:14,0,10,0,11,0,9
19-09-2020_09:20:14,0,10,0,11,0,9
19-09-2020_09:25:14,0,11,0,9,0,11
19-09-2020_09:30:13,0,10,0,10,0,11
19-09-2020_09:35:14,0,9,0,11,0,11
19-09-2020_09:40:15,0,11,0,10,20,63
19-09-2020_09:45:14,0,11,20,11,0,10
19-09-2020_09:50:15,0,65,0,79,0,10
19-09-2020_09:55:14,0,10,0,10,0,10
19-09-2020_10:00:14,0,10,0,11,0,9
19-09-2020_10:05:13,0,11,0,10,0,10
19-09-2020_10:10:15,0,9,20,11,0,9
19-09-2020_10:15:14,0,11,0,10,0,10
19-09-2020_10:20:13,0,9,0,9,0,10
19-09-2020_10:25:13,0,10,0,11,0,10
19-09-2020_10:30:14,0,10,0,11,0,11
19-09-2020_10:35:13,0,11,0,11,0,11
19-09-2020_10:40:14,0,12,0,11,0,10
19-09-2020_10:45:14,0,10,0,10,0,10
19-09-2020_10:50:13,0,11,0,11,0,10
19-09-2020_10:55:14,0,11,0,10,0,10
19-09-2020_11:00:14,0,11,0,10,0,11
19-09-2020_11:05:13,0,11,0,10,0,9
19-09-2020_11:10:14,0,11,0,10,0,9
19-09-2020_11:15:13,0,9,0,9,0,8
19-09-2020_11:20:13,0,11,0,10,0,10
19-09-2020_11:25:15,0,11,0,11,20,47
19-09-2020_11:30:14,0,11,0,7,0,11
19-09-2020_11:35:13,0,11,0,9,0,11
19-09-2020_11:40:14,0,10,0,10,0,11
19-09-2020_11:45:14,0,10,0,11,0,11
19-09-2020_11:50:14,20,62,0,9,0,10
19-09-2020_11:55:14,0,9,0,11,0,10
19-09-2020_12:00:14,0,10,0,11,0,11
19-09-2020_12:05:13,0,10,0,9,0,10
19-09-2020_12:10:14,0,11,0,10,0,10
19-09-2020_12:15:14,0,31,0,10,0,65
19-09-2020_12:20:14,0,11,0,11,0,10
19-09-2020_12:25:15,0,8,0,11,0,11
19-09-2020_12:30:13,0,11,0,11,0,9
19-09-2020_12:35:14,0,11,0,9,0,10
19-09-2020_12:40:15,0,10,0,10,20,10
19-09-2020_12:45:13,0,11,0,9,0,11
19-09-2020_12:50:15,0,9,0,11,20,77
19-09-2020_12:55:14,0,10,0,10,0,9
19-09-2020_13:00:13,0,10,0,11,0,10
19-09-2020_13:05:14,0,11,0,9,0,11
19-09-2020_13:10:13,0,10,0,10,0,9
19-09-2020_13:15:13,0,10,0,10,0,9
19-09-2020_13:20:14,0,10,0,10,0,9
19-09-2020_13:25:14,0,10,0,10,0,11
19-09-2020_13:30:13,0,12,0,9,0,10
19-09-2020_13:35:14,0,9,0,10,0,10
19-09-2020_13:40:14,0,9,0,10,0,10
19-09-2020_13:45:13,0,11,0,9,0,11
19-09-2020_13:50:14,0,11,0,9,0,10
19-09-2020_13:55:13,0,11,0,8,0,10
19-09-2020_14:00:13,0,11,0,10,0,9
19-09-2020_14:05:14,0,9,0,10,0,9
19-09-2020_14:10:14,0,10,0,10,0,9
19-09-2020_14:15:13,0,9,0,10,0,10
19-09-2020_14:20:13,0,10,0,10,0,11
19-09-2020_14:25:14,0,11,0,11,0,10
19-09-2020_14:30:13,0,9,0,9,0,10
19-09-2020_14:35:14,0,10,0,11,0,9
19-09-2020_14:40:14,0,10,0,11,0,10
19-09-2020_14:45:13,0,9,0,11,0,10
19-09-2020_14:50:14,0,10,0,10,0,10
19-09-2020_14:55:13,0,11,0,9,0,10
19-09-2020_15:00:13,0,10,0,10,0,10
19-09-2020_15:05:14,0,10,0,10,0,10
19-09-2020_15:10:13,0,10,0,10,0,10
19-09-2020_15:15:14,0,10,0,10,0,10
19-09-2020_15:20:14,0,10,0,10,0,10
19-09-2020_15:25:14,0,10,0,11,0,6
19-09-2020_15:30:13,0,10,0,11,0,9
19-09-2020_15:35:14,0,11,0,9,0,10
19-09-2020_15:40:14,0,11,0,11,0,10
19-09-2020_15:45:13,0,9,0,10,0,10
19-09-2020_15:50:14,0,11,0,11,0,10
19-09-2020_15:55:13,0,10,0,12,0,10
19-09-2020_16:00:13,0,10,0,10,0,9
19-09-2020_16:05:14,0,6,0,10,0,10
19-09-2020_16:10:14,0,10,0,11,0,9
19-09-2020_16:15:13,0,11,0,10,0,11
